Rank. Name Team - ELIG. POS.
595. Kurt Suzuki Was - C
596. Phillip Ervin Cin - OF
597. Tucker Barnhart Cin - C
598. Willians Astudillo Min - C,1B,3B
599. Adam Haseley Phi - OF
6. Anthony Rendon LAA - 3B
60. Jorge Polanco Min - SS
600. Wilmer Difo Was - SS
601. Monte Harrison Mia - OF
602. Maikel Franco KC - 3B
603. Harold Castro Det - 2B,3B,OF
604. Travis d'Arnaud Atl - C,1B
605. Matt Beaty LAD - 1B,3B,OF
606. Chad Pinder Oak - 2B,3B,OF
607. Evan White Sea - 1B
608. Steven Souza Jr. ChC - OF
609. Pablo Reyes Pit - OF
61. Pete Alonso NYM - 1B
610. Kevin Cron Ari - 1B
611. Rio Ruiz Bal - 1B,3B
612. Brian Goodwin LAA - OF
613. Yan Gomes Was - C
614. Bobby Bradley Cle - 1B
615. Richie Martin Bal - SS
616. Matt Adams NYM - 1B
617. Tom Murphy Sea - C
618. Albert Almora Jr. ChC - OF
619. Stephen Vogt Ari - C,OF
62. Sean Doolittle Was - RP
620. Ryon Healy Mil - 1B,3B
621. Orlando Arcia Mil - SS
622. Franklin Barreto Oak - 2B
623. Roberto Pérez Cle - C
624. Tony Wolters Col - C
625. Jason Castro LAA - C
626. Mike Brosseau TB - 2B,3B,OF
627. Ehire Adrianza Min - 1B,2B,3B,SS,OF
628. Jake Lamb Ari - 1B,3B
629. Adam Duvall Atl - OF
63. Javier Báez ChC - SS
630. Sam Travis Tex - 1B,OF
631. Chance Sisco Bal - C
632. Greg Garcia SD - 2B,3B
633. Brandon Drury Tor - 1B,2B,3B,OF
634. Austin Allen Oak - C
635. Austin Romine Det - C
636. Manny Piña Mil - C
637. Zack Collins CWS - C
638. Bubba Starling KC - OF
639. Sheldon Neuse Oak - 2B
64. Brad Hand Cle - RP
640. Jake Marisnick NYM - OF
641. Brendan Rodgers Col - 2B,SS
642. Tyler Flowers Atl - C
643. Bobby Dalbec Bos - 3B
644. Roman Quinn Phi - OF
645. Elias Díaz Col - C
646. Martín Maldonado Hou - C
647. Adam Engel CWS - OF
648. Grayson Greiner Det - C
649. Kevan Smith TB - C
65. Josh Bell Pit - 1B
650. JT Riddle Pit - SS,OF
