"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Ryan Aguilar","Brewers","120","484","422","77","14","3","8","47","34","54","179","3","6","2",".182",".279",".287",".565",".252","4.0","0.1","-2.0","sa918712"
"Mark Karaviotis","Diamondbacks","96","388","342","72","12","2","4","38","27","35","111","7","2","3",".211",".294",".292",".586",".261","-6.0","-1.1","-2.1","sa738977"
"Julio Pablo Martinez","Rangers","113","468","430","83","15","3","11","46","38","31","176","3","18","13",".193",".251",".319",".569",".246","-1.0","-2.3","-2.1","sa3005607"
"Jerrick Suiter","Cubs","112","420","387","82","15","1","5","37","34","26","108","3","3","2",".212",".264",".295",".559",".242","3.0","-0.5","-2.2","sa599740"
"Rashad Crawford","","106","424","389","75","11","3","6","38","31","29","134","2","11","6",".193",".252",".283",".535",".234","-6.0","-0.6","-2.2","sa658166"
"Jack Larsen","Mariners","111","471","421","69","14","3","11","43","40","46","200","2","3","2",".164",".249",".290",".539",".237","-1.0","-0.5","-2.2","sa3004840"
"Connor Myers","Cubs","109","373","345","64","13","4","3","29","23","18","140","4","10","6",".186",".233",".272",".506",".220","-1.0","-0.8","-2.2","sa918641"
"Cornelius Randolph","Phillies","114","443","402","86","14","2","9","43","37","36","132","2","8","6",".214",".281",".326",".606",".264","-7.0","-1.2","-2.2","sa874241"
"Josh Stephen","Phillies","123","432","399","83","18","4","11","41","42","31","139","1","6","6",".208",".266",".356",".622",".265","-8.0","-1.6","-2.3","sa918203"
"Tate Matheny","Red Sox","106","420","391","78","16","2","5","37","31","21","155","3","11","8",".199",".245",".289",".534",".231","3.0","-1.5","-2.3","sa658567"
"Michael O'Neill","","109","428","393","80","14","2","8","40","30","25","144","5","13","4",".204",".259",".310",".569",".247","-3.0","0.7","-2.3","sa550175"
"Bryan De La Cruz","Astros","117","507","466","104","20","3","7","50","40","34","116","3","9","7",".223",".278",".324",".602",".260","-10.0","-1.5","-2.3","sa828304"
"Anfernee Seymour","","108","396","366","77","13","3","2","34","24","21","126","2","16","10",".210",".256",".279",".534",".234","-2.0","-1.3","-2.4","sa829114"
"Oscar Gonzalez","Indians","129","525","509","118","22","2","11","46","49","11","117","1","5","6",".232",".248",".348",".596",".251","-1.0","-1.8","-2.4","sa872782"
"Jameson Hannah","Reds","112","496","462","103","21","3","3","44","29","27","121","4","8","10",".223",".271",".301",".572",".249","-5.0","-3.0","-2.4","sa3007046"
"Jose Azocar","Tigers","129","517","495","114","16","4","6","45","39","13","146","3","7","4",".230",".252",".315",".567",".241","-2.0","-0.6","-2.6","sa735839"
"Gio Brusa","Giants","110","428","391","66","16","2","13","40","40","32","181","2","4","2",".169",".234",".320",".553",".238","-4.0","-0.2","-2.8","sa659068"
"Lazaro Armenteros","Athletics","119","506","455","78","14","2","14","48","44","45","224","6","14","7",".171",".255",".303",".558",".245","-10.0","-0.5","-2.9","sa969091"
"Elier Hernandez","","115","458","429","88","18","2","5","38","31","19","128","5","5","5",".205",".246",".291",".537",".233","-4.0","-1.4","-3.0","sa659238"
"Courtney Hawkins","","100","417","390","70","17","0","13","37","41","21","153","2","1","4",".179",".224",".323",".547",".231","-6.0","-1.7","-3.0","sa657904"
"Tim Tebow","Mets","91","328","303","49","10","1","4","25","20","19","138","4","2","2",".162",".220",".241",".461",".205","-9.0","-0.6","-3.4","sa323152"
