"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Freddy Galvis","Reds","151","609","567","144","30","4","15","65","74","34","135","2","7","4",".254",".297",".400",".697",".294","3.0","-0.6","0.9","6609"
"Brad Miller","Cardinals","108","364","323","77","16","3","16","43","51","36","97","2","3","3",".238",".316",".455",".771",".323","2.0","-0.9","0.9","12775"
"Daniel Robertson","Rays","99","374","323","73","13","1","7","40","31","39","91","10","3","2",".226",".326",".337",".664",".295","2.0","-0.5","0.9","14145"
"Jose Rondon","Orioles","95","376","350","83","16","2","13","41","44","20","94","2","5","4",".237",".281",".406",".686",".289","3.0","-0.9","0.8","14140"
"Tyler Freeman","Indians","125","544","503","131","30","4","3","57","39","18","68","19","14","5",".260",".309",".354",".663",".287","1.0","0.3","0.7","sa3004755"
"Zack Short","Cubs","103","436","372","79","18","3","10","48","37","56","123","5","7","5",".212",".322",".358",".679",".298","0.0","-1.0","0.7","sa873287"
"Owen Miller","Padres","128","553","510","128","24","3","8","58","49","35","94","6","4","5",".251",".306",".357",".662",".286","2.0","-1.7","0.7","sa3006673"
"Jose Peraza","Red Sox","152","546","509","140","24","4","8","58","50","23","74","8","16","8",".275",".315",".385",".700",".299","0.0","-0.6","0.7","13593"
"Lourdes Gurriel Jr.","Blue Jays","116","479","446","115","24","1","20","60","67","22","104","6","6","5",".258",".299",".451",".750",".313","0.0","-1.2","0.7","19238"
"Adeiny Hechavarria","Braves","108","357","331","87","16","3","7","42","39","19","61","2","3","1",".263",".303",".393",".696",".293","2.0","0.0","0.6","10459"
"Tim Beckham","","107","419","387","92","18","2","16","47","49","27","121","3","2","3",".238",".292",".419",".710",".300","-6.0","-1.1","0.6","7949"
"Donnie Walton","Mariners","121","522","470","109","19","2","9","54","41","41","94","7","7","8",".232",".302",".338",".640",".280","1.0","-2.4","0.6","19314"
"Cole Tucker","Pirates","135","550","494","116","24","7","8","61","47","46","115","4","14","6",".235",".303",".360",".664",".286","1.0","-0.1","0.6","17326"
"Thairo Estrada","Yankees","108","420","393","97","17","3","9","47","42","19","83","5","7","3",".247",".289",".374",".663",".283","1.0","-0.1","0.6","16426"
"Dixon Machado","","105","387","341","80","16","1","7","41","38","37","77","3","3","3",".235",".313",".349",".662",".289","3.0","-0.9","0.6","11472"
"Jack Mayfield","Astros","119","472","438","104","25","1","18","56","61","26","103","3","5","2",".237",".282",".422",".704",".295","-3.0","-0.1","0.6","15402"
"Zack Cozart","","84","331","298","72","15","3","7","37","32","25","53","4","1","0",".242",".305",".383",".688",".293","2.0","0.0","0.6","2616"
