"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Ryder Jones","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".284",".377",".660",".280","","71","0.0","0.0","","0.0","0.0","0.0","15982"
"Andres Blanco","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".300",".377",".677",".291","","76","0.0","0.0","","0.0","0.0","0.0","1907"
"Seth Mejias-Brean","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".290",".338",".628",".272","","67","0.0","0.0","","0.0","0.0","0.0","13905"
"Jim Adduci","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".290",".379",".669",".284","","73","0.0","0.0","","0.0","0.0","0.0","6448"
"Jake Noll","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".290",".369",".659",".281","","68","0.0","0.0","","0.0","0.0","0.0","19703"
"Matt Skole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".293",".357",".650",".281","","74","0.0","0.0","","0.0","0.0","0.0","12119"
"Stephen Cardullo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".315",".406",".720",".307","","73","0.0","0.0","","0.0","0.0","0.0","11204"
"Ryan Court","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".292",".345",".637",".277","","68","0.0","0.0","","0.0","0.0","0.0","12268"
"Chris Parmelee","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".290",".365",".655",".281","","74","0.0","0.0","","0.0","0.0","0.0","2554"
"Efren Navarro","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".306",".343",".650",".281","","71","0.0","0.0","","0.0","0.0","0.0","9854"
"Brandon Dixon","Tigers","3","14","12","3","1","0","0","1","2","1","4","0","0","0","",".237",".284",".407",".691",".291","","78","0.0","-0.2","","-0.4","-0.1","0.0","15214"
"Blake Lalli","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".261",".306",".568",".247","","47","0.0","0.0","","-0.1","0.0","0.0","9246"
"Ryan Rua","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".266",".363",".629",".268","","63","0.0","0.0","","0.0","0.0","0.0","12409"
"Matt Adams","Mets","3","12","11","2","0","0","1","1","2","1","4","0","0","0","",".224",".285",".452",".737",".305","","91","0.0","0.0","","-0.2","-0.3","0.0","9393"
"Peter O'Brien","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".263",".366",".629",".267","","60","0.0","0.0","","-0.1","0.0","0.0","13288"
"John Hicks","Diamondbacks","5","18","17","4","1","0","1","2","2","1","6","0","0","0","",".228",".274",".380",".654",".277","","67","0.0","0.1","","-0.8","0.4","0.0","12547"
"Pablo Sandoval","Giants","13","54","50","12","3","0","2","6","7","4","12","0","0","0","",".250",".303",".435",".738",".309","","92","-0.2","-0.2","","-0.7","-1.2","0.0","5409"
"Neil Walker","","28","118","103","25","5","0","4","13","14","12","26","1","1","0","",".241",".325",".407",".731",".313","","90","-0.1","-0.3","","-1.6","-2.7","0.0","7539"
"Edwin Rios","Dodgers","7","27","25","6","1","0","1","3","4","2","10","0","0","0","",".226",".281",".429",".710",".296","","84","0.0","0.0","","-0.6","-0.8","0.0","18316"
"Yonder Alonso","","13","56","49","12","2","0","2","6","7","6","13","0","0","0","",".243",".322",".421",".744",".315","","91","-0.2","0.0","","-0.8","-1.5","0.0","2530"
"Steve Pearce","","24","103","91","21","4","0","4","11","12","9","25","2","0","0","",".236",".313",".409",".722",".308","","89","-0.2","-0.8","","-1.6","-2.4","-0.1","9957"
"Sam Travis","Rangers","10","40","36","9","2","0","1","4","5","3","9","0","0","0","",".254",".318",".404",".722",".307","","81","-0.1","0.0","","-1.0","-1.1","-0.1","16263"
"Patrick Wisdom","Mariners","15","59","53","11","2","0","2","6","6","5","20","1","1","0","",".203",".272",".370",".642",".273","","71","0.1","-0.1","","-2.2","-0.6","-0.1","13602"
"Dominic Smith","Mets","43","177","160","39","8","0","6","20","22","13","42","1","1","1","",".242",".304",".418",".722",".306","","92","0.0","-0.5","","-2.0","-4.4","-0.1","15653"
"Hanley Ramirez","","37","159","141","34","6","0","7","19","21","14","38","2","1","1","",".239",".314",".434",".747",".315","","94","-0.7","-0.2","","-2.0","-4.1","-0.1","8001"
"Albert Pujols","Angels","118","506","462","116","19","0","21","61","72","35","74","4","2","1","",".252",".308",".434",".742",".312","","96","-3.6","-2.3","","-6.5","-12.3","-0.1","1177"
"Lucas Duda","","26","108","95","21","5","0","5","13","15","10","33","1","0","0","",".224",".302",".438",".740",".309","","90","-0.4","-0.2","","-1.8","-2.8","-0.1","2502"
"Ian Desmond","Rockies","69","283","256","67","13","2","11","34","38","21","70","3","5","2","",".263",".322",".454",".776",".326","","85","0.2","-0.7","","-5.3","-5.0","-0.1","6885"
"Mark Reynolds","","23","92","80","17","3","0","3","10","11","9","30","1","1","0","",".213",".299",".386",".685",".294","","79","-0.4","-0.2","","-2.9","-2.5","-0.2","7619"
"Josh Fuentes","Rockies","28","111","104","27","6","1","3","12","13","5","29","1","1","0","",".261",".296",".419",".715",".300","","69","0.1","0.1","","-4.5","-2.1","-0.3","16885"
"Chris Davis","Orioles","63","259","227","45","8","0","12","28","31","27","99","3","1","0","",".197",".287",".388",".675",".288","","75","-0.1","-0.4","","-8.5","-5.7","-0.5","9272"
