"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Austin Slater","Giants","51","209","183","46","9","1","5","22","21","20","57","3","3","1","",".250",".333",".389",".721",".311","","94","0.3","-0.3","","-1.4","-3.3","0.2","16153"
"Hunter Pence","Giants","72","301","274","71","13","1","10","33","37","21","71","2","4","2","",".259",".315",".427",".742",".314","","96","0.0","-1.4","","-1.7","-6.1","0.2","8252"
"Jake Fraley","Mariners","66","267","244","59","13","2","7","28","29","16","63","3","8","3","",".243",".297",".400",".697",".295","","85","0.2","-0.1","","-4.9","-2.7","0.2","19260"
"Ben Zobrist","","37","161","141","37","8","1","3","19","16","17","24","1","1","0","",".261",".343",".389",".731",".317","","95","-0.3","-0.2","","-1.4","-2.3","0.2","7435"
"Albert Almora Jr.","Cubs","60","248","230","61","12","1","6","27","28","13","44","1","2","1","",".266",".308",".411",".719",".303","","84","-0.3","-0.5","","-5.4","-0.8","0.2","14109"
"Steven Duggar","Giants","68","287","258","62","14","2","4","28","24","23","81","2","5","3","",".242",".306",".361",".667",".288","","79","0.4","-0.9","","-7.7","0.3","0.2","17719"
"Delino DeShields","Indians","47","199","174","40","8","1","3","23","17","20","49","2","10","3","",".231",".313",".338",".650",".286","","71","1.5","-0.2","","-5.8","0.6","0.2","11379"
"Josh Rojas","Diamondbacks","18","75","67","18","4","1","2","9","8","7","15","1","3","1","",".265",".335",".426",".761",".324","","98","0.0","0.2","","-0.2","-0.5","0.2","19734"
"Jake Cave","Twins","26","104","94","24","5","1","3","12","13","7","30","1","1","0","",".256",".315",".423",".738",".312","","92","0.1","-0.2","","-0.9","-1.0","0.2","14477"
"Matt Beaty","Dodgers","38","155","141","39","8","0","5","18","20","10","22","2","2","1","",".274",".326",".441",".767",".323","","102","0.0","-0.6","","0.3","-3.6","0.2","17710"
"Lane Thomas","Cardinals","50","198","179","44","8","1","7","22","24","15","52","2","5","2","",".244",".308",".418",".725",".308","","91","0.1","0.8","","-2.3","-2.5","0.2","16939"
"Jo Adell","Angels","63","256","234","56","12","1","8","29","31","16","73","3","4","1","",".241",".296",".406",".701",".297","","86","0.2","0.0","","-4.5","-3.2","0.1","sa3004837"
"Travis Demeritte","Tigers","23","92","82","19","4","1","3","10","11","8","27","1","1","0","",".238",".311",".432",".743",".314","","93","0.1","-0.1","","-0.7","-1.2","0.1","15958"
"Billy McKinney","Blue Jays","29","121","108","26","6","1","5","15","15","10","29","1","1","0","",".239",".308",".439",".747",".314","","95","0.0","-0.1","","-0.8","-2.3","0.1","15654"
"Dwight Smith Jr.","Orioles","52","221","198","51","10","1","7","26","26","18","44","2","3","1","",".259",".324",".425",".748",".318","","96","-0.1","-2.5","","-1.3","-5.4","0.1","13473"
"Carlos Gonzalez","","47","197","177","41","9","0","7","21","23","17","53","1","2","1","",".230",".298",".402",".700",".296","","86","0.0","0.3","","-3.5","-2.4","0.1","7287"
"Billy Hamilton","","34","137","123","28","5","1","1","13","10","11","32","1","8","2","",".227",".293",".310",".603",".265","","63","1.4","1.3","","-5.2","1.8","0.1","10199"
"Jake Marisnick","Mets","74","290","262","57","12","1","10","31","33","18","91","5","7","3","",".218",".279",".390",".669",".284","","77","1.0","0.0","","-7.7","-0.6","0.1","11339"
"Kyle Lewis","Mariners","109","460","418","97","20","1","15","47","52","34","133","3","2","1","",".233",".293",".392",".685",".291","","83","0.5","-0.2","","-9.6","-5.7","0.1","19508"
"Randy Arozarena","Rays","8","32","29","7","2","0","1","4","4","2","7","1","1","0","",".256",".321",".409",".731",".312","","96","0.0","0.2","","-0.1","-0.1","0.1","19290"
